product_id,product_title,variant_id,old_price,new_price,old_compare_at,new_compare_at
gid://shopify/Product/8634482983222,ECO VALLEY NUTRITION - UTI Advanced - 30 Capsules,gid://shopify/ProductVariant/46557472588086,182.82,182.00,,
gid://shopify/Product/8634495533366,ECO VALLEY NUTRITION - Vitamin B5 Pantothenic Acid - 60 Capsules,gid://shopify/ProductVariant/46557574693174,244.86,244.00,,
gid://shopify/Product/8651223007542,OXIPROVIN - Oxiprovin - 60 Capsules,gid://shopify/ProductVariant/46656158990646,148.61,148.00,,
gid://shopify/Product/8683925340470,MEDICO HERBS - Respir-Eze Spray 50ml,gid://shopify/ProductVariant/46800378822966,174.91,174.00,,
gid://shopify/Product/8683953619254,PURE HERBAL REMEDIES - Paraherb - 90 Capsules,gid://shopify/ProductVariant/46800564617526,189.75,189.00,,
gid://shopify/Product/8689001300278,ECO VALLEY NUTRITION - Potassium MAX - 60 Capsules,gid://shopify/ProductVariant/46818336244022,219.91,219.00,,
gid://shopify/Product/8704664731958,VIVID HEALTH - NUTRIENT HEALTH - Turmeric Plus 60 Capsules,gid://shopify/ProductVariant/46872291246390,257.60,257.00,,
gid://shopify/Product/8747828183350,VIVID HEALTH - PHYSICAL HEALTH - Omega Oil 90 Capsules,gid://shopify/ProductVariant/46994848350518,237.18,237.00,,
gid://shopify/Product/8832146637110,NATURA - Thuja Lotion Plus - 25ml Drops,gid://shopify/ProductVariant/47195208646966,194.87,194.00,,
gid://shopify/Product/8834515599670,NATURA - Alfalfa Tonic - 200ml Liquid,gid://shopify/ProductVariant/47201983463734,262.12,262.00,,
gid://shopify/Product/8834711716150,NATURA - All Heal Plus - 50g Ointment,gid://shopify/ProductVariant/47202364096822,219.22,219.00,,
gid://shopify/Product/8834728788278,NATURA - Angio - 25ml Drops,gid://shopify/ProductVariant/47202416492854,195.45,195.00,,
gid://shopify/Product/8834737209654,NATURA - Anti Tobacco - 25ml Drops,gid://shopify/ProductVariant/47202445426998,176.39,176.00,,
gid://shopify/Product/8834745696566,NATURA - Arnica D6 - 150 Tablets,gid://shopify/ProductVariant/47202460729654,213.18,213.00,,
gid://shopify/Product/8834772631862,NATURA - Arnica Plus - 50g Gel,gid://shopify/ProductVariant/47202523218230,176.61,176.00,,
gid://shopify/Product/8834838102326,NATURA - Calendula Plus - 50g Ointment,gid://shopify/ProductVariant/47202687746358,176.59,176.00,,
gid://shopify/Product/8834841018678,NATURA - Carno 1 - 25ml Drops,gid://shopify/ProductVariant/47202701017398,171.33,171.00,,
gid://shopify/Product/8834844819766,NATURA - Cataract - 150 Tablets,gid://shopify/ProductVariant/47202718318902,112.06,112.00,,
gid://shopify/Product/8834857632054,NATURA - Combin Assist Allergy - 125 Tablets,gid://shopify/ProductVariant/47202759967030,109.59,109.00,,
gid://shopify/Product/8834866544950,NATURA - Combin Assist Circulation - 125 Tablets,gid://shopify/ProductVariant/47202795487542,102.92,102.00,,
gid://shopify/Product/8834870739254,NATURA - Combin Assist Fatigue and Exhaustion - 125 Tablets,gid://shopify/ProductVariant/47202812625206,109.61,109.00,,
gid://shopify/Product/8834879455542,NATURA - Combin Assist Coughs and Colds - 125 Tablets,gid://shopify/ProductVariant/47202844901686,109.61,109.00,,
gid://shopify/Product/8834884731190,NATURA - Combin Assist Arthritis + Rheumatism - 125 Tablets,gid://shopify/ProductVariant/47202860368182,109.59,109.00,,
gid://shopify/Product/8834893087030,NATURA - Diarrho - 25ml Drops,gid://shopify/ProductVariant/47202894414134,163.16,163.00,,
gid://shopify/Product/8834901115190,NATURA - Enur - 25ml Drops,gid://shopify/ProductVariant/47202921677110,185.45,185.00,,
gid://shopify/Product/8834902819126,NATURA - Eyebright - 25ml Drops,gid://shopify/ProductVariant/47202932326710,165.84,165.00,,
gid://shopify/Product/8834936209718,NATURA - Feminon - 25ml Drops,gid://shopify/ProductVariant/47203103899958,157.94,157.00,,
gid://shopify/Product/8834951282998,NATURA - Gripless 1 - 25ml Drops,gid://shopify/ProductVariant/47203159605558,165.84,165.00,,
gid://shopify/Product/8834954002742,NATURA - Hemorrho Plus - 50g Ointment,gid://shopify/ProductVariant/47203172286774,182.47,182.00,,
gid://shopify/Product/8834957115702,NATURA - Injura - 25ml Drops,gid://shopify/ProductVariant/47203201974582,165.84,165.00,,
gid://shopify/Product/8834972418358,NATURA - Landi F - 25ml Drops,gid://shopify/ProductVariant/47203264037174,176.62,176.00,,
gid://shopify/Product/8834978283830,NATURA - Landi M - 25ml Drops,gid://shopify/ProductVariant/47203273081142,185.46,185.00,,
gid://shopify/Product/8834982740278,NATURA - Lungen - 25ml Drops,gid://shopify/ProductVariant/47203281797430,176.63,176.00,,
gid://shopify/Product/8834987032886,NATURA - Lympha - 25ml Drops,gid://shopify/ProductVariant/47203295953206,176.62,176.00,,
gid://shopify/Product/8835006529846,NATURA - Magen 25ml - Drops,gid://shopify/ProductVariant/47203429155126,176.62,176.00,,
gid://shopify/Product/8835019702582,NATURA - Mixed Allergin - 90 Tablets,gid://shopify/ProductVariant/47203505275190,243.56,243.00,,
gid://shopify/Product/8835028582710,NATURA - Nasosinus - 30 Capsules,gid://shopify/ProductVariant/47203532341558,219.21,219.00,,
gid://shopify/Product/8835050537270,NATURA - Nerva 3 - 25ml Drops,gid://shopify/ProductVariant/47203587391798,145.69,145.00,,
gid://shopify/Product/8835056763190,NATURA - Nervuton 1 - 25ml Drops,gid://shopify/ProductVariant/47203617833270,176.62,176.00,,
gid://shopify/Product/8835059220790,NATURA - Nieren - 25ml Drops,gid://shopify/ProductVariant/47203623960886,176.62,176.00,,
gid://shopify/Product/8835063087414,NATURA - Odon - 25ml Drops,gid://shopify/ProductVariant/47203633234230,176.62,176.00,,
gid://shopify/Product/8835080454454,NATURA - Osto - 25ml Drops,gid://shopify/ProductVariant/47203710992694,145.70,145.00,,
gid://shopify/Product/8835082387766,NATURA - Otitis - 25ml Drops,gid://shopify/ProductVariant/47203720134966,176.63,176.00,,
gid://shopify/Product/8835086287158,NATURA - Pentagen - 50ml Drops,gid://shopify/ProductVariant/47203728720182,194.63,194.00,,
gid://shopify/Product/8835089105206,NATURA - Procordal Plus - 200ml Tonic,gid://shopify/ProductVariant/47203738157366,267.93,267.00,,
gid://shopify/Product/8835093004598,NATURA - Ruma Plus - 50g Ointment,gid://shopify/ProductVariant/47203749495094,165.82,165.00,,
gid://shopify/Product/8835095265590,NATURA - Sango - Drops 25ml,gid://shopify/ProductVariant/47203756015926,191.60,191.00,,
gid://shopify/Product/8835097395510,NATURA - Combin Assist Hair and Nails - 125 Tablets,gid://shopify/ProductVariant/47203766665526,102.80,102.00,,
gid://shopify/Product/8835100639542,NATURA - Scutellaria - 150 Tablets,gid://shopify/ProductVariant/47203774202166,190.60,190.00,,
gid://shopify/Product/8835102867766,NATURA - Sepia - 150 Tablets,gid://shopify/ProductVariant/47203783541046,213.12,213.00,,
gid://shopify/Product/8835105259830,NATURA - Sinfrontal - 150 Tablets,gid://shopify/ProductVariant/47203799859510,219.21,219.00,,
gid://shopify/Product/8835107193142,NATURA - Struma 2 - 150 Tablets,gid://shopify/ProductVariant/47203808969014,196.07,196.00,,
gid://shopify/Product/8835110142262,NATURA - Thuja - 150 Tablets,gid://shopify/ProductVariant/47203820568886,223.04,223.00,,
gid://shopify/Product/8835111813430,NATURA - Tinnitus - 150 Tablets,gid://shopify/ProductVariant/47203828531510,213.13,213.00,,
gid://shopify/Product/8835113910582,NATURA - Tonsilla - 150 Tablets,gid://shopify/ProductVariant/47203834724662,219.20,219.00,,
gid://shopify/Product/8835117187382,NATURA - Urina - 25ml Drops,gid://shopify/ProductVariant/47203851075894,176.63,176.00,,
gid://shopify/Product/8835120922934,NATURA - Buso - 25ml Drops,gid://shopify/ProductVariant/47203867427126,178.82,178.00,,
gid://shopify/Product/8835141861686,NATURA - Gallen - 25ml Drops,gid://shopify/ProductVariant/47203971793206,185.21,185.00,,
gid://shopify/Product/8835146449206,NATURA - Gichtin - 25ml Drops,gid://shopify/ProductVariant/47204000203062,157.73,157.00,,
gid://shopify/Product/8835156214070,NATURA - Nerva 2 - 25ml Drops,gid://shopify/ProductVariant/47204057645366,185.21,185.00,,
gid://shopify/Product/8836267835702,NATURA - Dental Melts - 50 Tablets,gid://shopify/ProductVariant/47207767343414,95.65,95.00,,
gid://shopify/Product/8836274880822,NATURA - Uri-kleer - 6 Vegecaps,gid://shopify/ProductVariant/47207811023158,179.71,179.00,,
gid://shopify/Product/8836370006326,NATURA - Slim 200ml Tonic,gid://shopify/ProductVariant/47208108753206,229.40,229.00,,
