name,category,price_incl_vat_zar,in_stock,qty_on_hand,sku
10ML PINE SYLESTRIS OIL,Body Care,91.50,yes,3,6009704873822
10ML R/WOOD,Body Care,54.55,yes,1,6009704871538
10ML RAVENSARA,Body Care,146.04,yes,4,6009704871439
10ML ROSE BLEND OIL,Body Care,66.86,yes,4,6009704871453
10ML ROSEMARY,Body Care,70.38,yes,7,6009704871491
10ML S/WOOD,Body Care,255.13,yes,4,6009704871576
10ML SAGE OIL,Body Care,109.09,yes,3,6009704871552
10ML SPEARMINT,Body Care,75.66,yes,5,6009704871606
10ML TAGETES KHAKI,Body Care,165.40,yes,2,6009704871637
10ML TANGERINE,Body Care,54.55,yes,3,6009704871651
10ML TEA TREE,Body Care,47.51,yes,8,6009704871699
10ML THYME (RED),Body Care,72.14,yes,2,6009704871675
10ML VANILLA OIL,Body Care,43.99,yes,8,6009704871736
10ML VETIVER,Body Care,262.17,yes,2,6009704871750
10ML Y/YLANG,Body Care,149.56,yes,6,6009704871811
10N PLATINUM BLONDE HERBATINT,Body Care,233.16,yes,1,801674450010
11ML WINTER GREEN,Body Care,103.50,yes,1,6009704871774
150ML FACE SCRUB,Body Care,189.75,yes,2,737186669539
1KG ACHES & PAINS,Body Care,213.13,yes,2,6000000120060
1KG BAG NAT SEA SALT,Body Care,67.29,yes,1,6000000120310
1KG NAMIBIAN SALT,Body Care,33.43,yes,3,6000000008165
1L ALMOND SWT,Body Care,426.01,yes,4,6009704873211
1L APRICOT KERN,Body Care,354.72,yes,1,6009704870227
1L AVO,Body Care,425.36,yes,1,6000000009137
1L CARPET & UPHOLSTERY,Body Care,177.10,yes,2,600000054802
1L G/SEED,Body Care,217.47,yes,1,6009704873235
1L GLASS & MIRROR CLEANER,Body Care,109.48,yes,2,6000000017545
1L JOJOBA,Body Care,1127.46,yes,1,6000000007319
1L KITCHEN &  BATHROOM,Body Care,116.32,yes,1,6000000021863
1L MCT OIL,Body Care,473.31,yes,1,600000002250
1L ROSE WTR,Body Care,612.38,yes,2,6000000633417
1L SHEA REF,Body Care,311.94,yes,3,6009704872542
1L SHEA UNREF,Body Care,487.69,yes,3,60097048772566
1L TILE & FLOOR CLEANER,Body Care,143.99,yes,1,6000000031961
1L WHEATGERM,Body Care,579.12,yes,1,6000000698522
1LSHAMP BASE,Body Care,159.07,yes,2,6000000698508
1N BLACK HERBATINT,Body Care,233.16,yes,5,801674450001
20 CONCEALER 4.9g,Body Care,495.00,yes,1,6009554901683
200G DIABETIC GEL,Body Care,173.56,yes,2,6000000155384
200ML BIO OIL NAT,Body Care,475.82,yes,1,6001159123538
20ML CARDAMON,Body Care,477.72,yes,1,600000076106
20ML CARROT SEED,Body Care,412.64,yes,1,6009704870357
20ML CHAMOM BLUE,Body Care,326.20,yes,1,6009704870203
20ML FRANK SERRATA,Body Care,220.54,yes,5,6009704873778
20ML FRANKINCENSE,Body Care,746.03,yes,2,6009704870760
20ML LAV STD,Body Care,183.60,yes,3,6009704870968
20ML LEMON GRASS,Body Care,99.82,yes,1,6009704871026
20ML ROSEMARY,Body Care,130.12,yes,3,6009704871507
20ML TI TREE,Body Care,89.13,yes,3,6009704871705
250G BEESWAX,Body Care,177.71,yes,3,6009704872672
250ML ACHES & PAIN SPRAY,Body Care,147.88,yes,1,6000000008987
250ML ANTI STRESS SPRAY,Body Care,134.60,yes,1,6000000030698
250ML BODY LOTION,Body Care,193.20,yes,5,737186669492
250ML LAV SPRAY,Body Care,148.05,yes,2,6000000030636
250ML LIGHT OUT SPRAY,Body Care,134.44,yes,1,600000002799
250ML RECHARGE SPRAY,Body Care,122.20,yes,1,6000000016845
250ML REFRESHING PRAY,Body Care,134.60,yes,1,6000000030643
250ML RELAXING SPRAY,Body Care,134.60,yes,2,6000000030612
250ML UPLIFTING SPRAY,Body Care,106.26,yes,2,600000000153
2N BROWN HERBATINT,Body Care,233.16,yes,4,801674450002
3/4 LEGGINGS BLACK XL,Body Care,429.95,yes,1,9351383087586
3/4 S/NECK TOP BLACK M,Body Care,519.95,yes,1,9351383086374
30 CONCEALER 4.9g,Body Care,495.00,yes,2,6009554901690
30ML INTIMATE LUBE,Body Care,116.44,yes,2,6100000082709
3N DARK CHESTNUT HERBATINT,Body Care,233.16,yes,5,801674450003
40 CONCEALER 4.9g,Body Care,495.00,yes,1,6009554901706
4C ASH CHESTNUT HERBATINT,Body Care,233.16,yes,4,801674450025
4D GOLDEN CHESTNUT HERBATINT,Body Care,233.16,yes,3,801674450011
4M MAHOGANY CHESTNUT HERBATINT,Body Care,233.17,yes,5,801674450016
4N CHESTNUT HERBATINT,Body Care,233.16,yes,1,801674450004
4R COPPER CHESTNUT,Body Care,233.16,yes,8,801674450019
50 CONCEALER 4.9g,Body Care,495.00,yes,1,6009554901713
500G CALCIUM GLUCONATE,Body Care,414.01,yes,2,6000000087821
500G KAOLIN CLAY,Body Care,91.50,yes,4,6000000548940
500G SHEA REF,Body Care,178.29,yes,2,6009704872535
500G SHEA UNREF,Body Care,277.93,yes,2,6009704872559
500G UNR CACAO BTR,Body Care,912.46,yes,1,600000014039
500ML ALMOND SWT,Body Care,228.46,yes,6,6009704871842
500ML APRICOT,Body Care,203.67,yes,3,6009704871880
500ML AVO BUTTER,Body Care,263.88,yes,5,6009704872511
500ML AVO OIL,Body Care,240.86,yes,3,6009704871927
500ML BAOBAB,Body Care,533.14,yes,1,610000000101
500ML BASE COND,Body Care,99.18,yes,3,6009836090203
500ML CARPET & UPHOLSTERY,Body Care,52.34,yes,1,600000002185
500ML CASTILE SOAP,Body Care,150.54,yes,12,600000075685
500ML CASTOR OIL,Body Care,145.00,yes,15,6009704872023
500ML CITRONELLA,Body Care,634.57,yes,1,6000000171711
500ML COCONUT,Body Care,139.92,yes,1,6009704872047
500ML CREAM BASE,Body Care,92.09,yes,4,6009704872498
